depth,wins,losses,draws,loss_rate,win_rate,time_taken
1,18431,469,783,0.02382766854646141,0.9363918101915358,1.07
2,18488,456,739,0.02316720012193263,0.9392877102067774,3.737
3,18888,181,614,0.009195752679977645,0.9596098155768937,15.645
4,18887,189,607,0.009602194787379973,0.9595590103134685,53.604
5,18772,0,911,0.0,0.95371640501956,152.292
6,18823,0,860,0.0,0.9563074734542498,269.503
7,18790,0,893,0.0,0.9546308997612153,351.4519999999999
8,18806,0,877,0.0,0.9554437839760199,352.5899999999999
